album,song,word,difficulty,definition
1989,Bad Blood,"rusted",Intermediate,"Covered with or affected by rust, which is a reddish-brown substance that forms on metal when it oxidizes. It can also be used figuratively to describe something that has become old, worn out, or decayed."
1989,Bad Blood,"scars",Beginner,"Marks left on the skin or on a surface after a wound has healed. It can also be used figuratively to describe emotional or psychological damage."
1989,Bad Blood,"ghosts",Intermediate,"The spirit of a dead person, or a person who is felt to be present but is not seen. It can also be used figuratively to describe a lingering feeling or memory."
1989,Bad Blood,"band-aids",Beginner,"A small piece of sticky material used to cover and protect a small wound or cut."
1989,Wildest Dreams,"handsome",Intermediate,"Having a pleasing and attractive appearance, especially in a strong and masculine way."
1989,Wildest Dreams,"familiar",Beginner,"Well-known or recognized because of being seen or experienced many times before."
1989,Wildest Dreams,"hindsight",Intermediate,"The ability to understand or see something clearly only after it has happened."
1989,Wildest Dreams,"tangled",Intermediate,"Twisted or caught together in a complicated way, often making it difficult to separate or understand."
1989,Wildest Dreams,"rosy",Beginner,"Having a healthy and pink color, often used to describe someone's cheeks."
1989,How You Get the Girl,"insane",Intermediate,"Not sane; mentally ill or deranged. Used to describe someone or something that is extremely foolish or unreasonable."
1989,How You Get the Girl,"forever",Beginner,"For all future time; always. Used to describe a period of time that has no end."
1989,This Love,"wildest",Intermediate,"completely uncontrolled or unrestrained; most extreme or intense"
1989,This Love,"flickered",Intermediate,"shone or burned unsteadily, with a wavering light; to have existed or been noticeable for only a short time"
1989,This Love,"permanent",Beginner,"lasting or remaining unchanged forever; intended to last or remain unchanged for a long time"
1989,This Love,"glowing",Beginner,"shining with a soft, steady, and warm light; radiant with health, happiness, or enthusiasm"
1989,This Love,"sinking",Intermediate,"going down or downwards, especially into a liquid or a state of decline or failure"
1989,I Know Places,"vultures",Intermediate,"Birds of prey that feed on carrion, often seen as a symbol of danger or threat. In a broader sense, people who take advantage of others' misfortunes."
1989,I Know Places,"fragile",Beginner,"Easily broken or damaged, often used to describe something delicate or vulnerable."
1989,I Know Places,"cages",Intermediate,"Enclosures used to confine or restrict something, often used metaphorically to describe feelings of confinement or limitation."
1989,I Know Places,"loose",Intermediate,"Not tightly closed or fastened, often used to describe something that is careless or indiscreet."
1989,I Know Places,"bulletproof",Intermediate,"Completely protected or invulnerable, often used to describe something that is resistant to attack or criticism."
1989,Clean,"drought",Intermediate,"A prolonged period of abnormally low rainfall, leading to water shortage. In a broader sense, it can also refer to a period of scarcity or lack."
1989,Clean,"thirst",Beginner,"A strong feeling of wanting or needing something, especially a drink. It can also be used figuratively to describe a strong desire or craving."
1989,Clean,"sober",Intermediate,"Not intoxicated or drunk. In a broader sense, it can also mean being in a state of calmness and clarity, free from emotional turmoil."
1989,Clean,"scarcity",Advanced,"Not explicitly mentioned, but 'drought' implies a state of scarcity."
debut,Tim McGraw,"bittersweet",Intermediate,"Having a mixture of both sweet and bitter feelings, often used to describe a nostalgic or sentimental experience. It can also refer to a situation that has both positive and negative aspects."
debut,Tim McGraw,"tendency",Beginner,"A natural or habitual inclination to do something, often used to describe a person's behavior or a thing's characteristic. It can also refer to a likelihood or probability of something happening."
debut,Tim McGraw,"spotlight",Beginner,"A strong beam of light focused on a particular person or thing, often used to draw attention to something. It can also refer to a position of prominence or attention."
debut,Picture to Burn,"obvious",Beginner,"clearly evident or easily seen; not hidden or mysterious"
debut,Picture to Burn,"obsessive",Intermediate,"having or showing an excessive and often unreasonable enthusiasm or interest"
debut,Picture to Burn,"redneck",Intermediate,"a person from a rural area, especially in the southern US, often associated with a particular set of cultural and social stereotypes"
debut,Picture to Burn,"revenge",Beginner,"the act of punishing or harming someone because they have done something wrong or unpleasant to you"
debut,Teardrops on My Guitar,"flawless",Intermediate,"completely perfect or without any faults"
debut,Teardrops on My Guitar,"wishin'",Beginner,"an informal or poetic way of saying 'wishing', typically expressing a strong desire or longing"
debut,A Place in This World,"mystery",Intermediate,"A person, thing, or situation that is difficult to understand or explain. Something that is unknown or unexplained."
debut,A Place in This World,"mission",Intermediate,"A task or assignment that someone is given or takes upon themselves. A strongly felt aim or ambition."
debut,A Place in This World,"sleeve",Beginner,"The part of a garment that covers the arm. To wear one's heart on one's sleeve means to openly show one's feelings."
debut,Cold as You,"condescending",Advanced,"Having or showing an attitude of superiority, often in a way that is perceived as insulting or patronizing. This behavior is typically characterized by a lack of respect for others' feelings or opinions."
debut,Cold as You,"defending",Intermediate,"Protecting or justifying something, such as an idea or a person, from criticism or attack. This can involve providing arguments or evidence to support one's position."
debut,Cold as You,"mess",Beginner,"A situation or state of confusion, disorder, or chaos. This can refer to a physical space, a person's life, or a situation that is difficult to manage or understand."
debut,Cold as You,"nerve",Intermediate,"The courage or audacity to do something, often in a way that is perceived as bold or daring. This can involve taking risks or challenging conventional norms."
debut,Cold as You,"shame",Beginner,"A feeling of guilt, regret, or embarrassment, often in response to a perceived wrongdoing or shortcoming. This can involve a sense of self-criticism or remorse."
debut,The Outside,"traveled",Intermediate,"to journey or move from one place to another, typically for a long distance. It can also refer to a path or road that is taken."
debut,The Outside,"notices",Beginner,"to become aware of something or someone, often unexpectedly. It can also mean to pay attention to or observe something."
debut,Tied Together with a Smile,"beauty",Beginner,"The quality of being pleasing and attractive. It can refer to physical appearance or other qualities that give pleasure or satisfaction."
debut,Tied Together with a Smile,"golden",Intermediate,"Something or someone that is considered to be of great value or highly desirable. It can also refer to a period of great success or happiness."
debut,Tied Together with a Smile,"undoing",Intermediate,"The act of causing something to come to an end or to be destroyed. It can also refer to the process of something falling apart."
debut,Tied Together with a Smile,"extra",Beginner,"More than what is needed or expected. It can also refer to something that is additional or supplementary."
debut,Stay Beautiful,"jungle",Intermediate,"A dense and lush tropical forest, often with a diverse range of plant and animal life. In a broader sense, it can also refer to a challenging or confusing situation."
debut,Stay Beautiful,"highlight",Beginner,"The most exciting or enjoyable part of an experience or event. It can also refer to a feature or aspect that is particularly noticeable or attractive."
debut,Stay Beautiful,"conversation",Beginner,"A talk, especially an informal one, between two or more people. It involves the exchange of ideas, thoughts, and opinions."
debut,Stay Beautiful,"daydream",Intermediate,"A series of pleasant thoughts that distract one's attention from the present. It is a state of mind where a person's thoughts wander and imagine a more desirable situation."
debut,Should've Said No,"weakness",Intermediate,"The state of being weak or fragile, often referring to a lack of moral strength or willpower. It can also describe a personal flaw or vulnerability."
debut,Should've Said No,"forgiveness",Beginner,"The act of forgiving someone for a mistake or wrongdoing, often involving a willingness to let go of resentment or anger."
debut,Should've Said No,"vulnerability",Intermediate,"The state of being open to attack, criticism, or emotional hurt, often due to a lack of protection or defense."
debut,Should've Said No,"resist",Beginner,"To withstand or oppose something, often requiring a significant amount of effort or willpower."
debut,Mary's Song (Oh My My My),"daddies",Beginner,"The plural form of 'daddy', referring to fathers. It is often used informally or in poetic language."
debut,Mary's Song (Oh My My My),"mamas",Beginner,"The plural form of 'mama', referring to mothers. It is often used informally or in poetic language."
debut,Mary's Song (Oh My My My),"aisle",Intermediate,"A passage between rows of seats, especially in a church or other place of worship. It can also refer to the act of walking down this passage, typically during a wedding ceremony."
debut,Our Song,"trampled",Intermediate,"to be treated roughly or unfairly, often in a way that causes damage or injury. It can also mean to be defeated or overpowered."
debut,Our Song,"amen",Beginner,"a word used to express agreement or confirmation, often at the end of a prayer. It can also be used to show strong agreement or to emphasize the end of a statement."
debut,Our Song,"napkin",Beginner,"a small piece of cloth or paper used for wiping the mouth or hands while eating."
evermore,willow,"mythical",Intermediate,"Existing only in myth or legend, not based on fact. Something that is mythical is often considered extraordinary or imaginary."
evermore,willow,"bait-and-switch",Advanced,"A deceptive tactic where something is offered or presented in a certain way, but then switched with something else, often of lesser value or quality. This phrase is often used to describe a form of deception or trickery."
evermore,willow,"hollow",Intermediate,"Having a empty or vacant space inside, often used to describe something that lacks substance or feeling. Something that is hollow can also be insincere or lacking in genuineness."
evermore,willow,"open-shut",Intermediate,"A case or situation that is very clear or obvious, often used to describe something that is straightforward or easy to understand."
evermore,champagne problems,"crestfallen",Intermediate,"feeling suddenly and deeply disappointed or disheartened"
evermore,champagne problems,"midas",Advanced,"relating to or resembling the legendary king Midas, who was said to have the power to turn everything he touched into gold"
evermore,champagne problems,"evergreen",Intermediate,"remaining fresh and interesting, or always relevant"
evermore,champagne problems,"tapestry",Intermediate,"a complex or intricate situation, or a decorative piece of fabric with intricate designs"
evermore,champagne problems,"skeptics",Intermediate,"people who are doubtful or questioning, often in a critical or disbelieving way"
evermore,gold rush,"contrarian",Intermediate,"A person who takes an opposing view, especially for the sake of being difficult or provocative. This term refers to someone who often disagrees with others, not necessarily because they believe in their own viewpoint, but to challenge the status quo."
evermore,gold rush,"dominoes",Beginner,"Small, flat, rectangular blocks with numbers or dots on them, used for playing various games. In a broader sense, dominoes can also refer to a situation where one event triggers a series of similar events, like a row of falling dominoes."
evermore,gold rush,"folklore",Intermediate,"The traditional stories, customs, and superstitions of a particular community or culture, passed down through the generations by word of mouth. In modern usage, folklore can also refer to a body of stories or legends about a particular subject or person."
evermore,gold rush,"gleaming",Beginner,"Shining brightly and smoothly, often in a way that is attractive or impressive. This term can be used to describe something that is polished, reflective, or radiant."
evermore,gold rush,"inviting",Beginner,"Attractive or appealing, making someone want to participate, join, or engage with something. This term can be used to describe a situation, a place, or even a person that is welcoming or enticing."
evermore,gold rush,"twinkling",Beginner,"Shining with a faint, sparkling light, often in a way that is attractive or playful. This term can be used to describe something that is lively, animated, or full of energy."
evermore,'tis the damn season,"linger",Intermediate,"To remain or stay in a place for a long time, often in a way that is unwanted or uncomfortable. It can also refer to a feeling or memory that persists."
evermore,'tis the damn season,"so-called",Intermediate,"Used to express that something is not genuinely or truly what it is claimed to be. It can imply a sense of doubt or skepticism."
evermore,'tis the damn season,"fakin'",Beginner,"A casual or informal way of saying 'faking', which means to pretend or simulate something, often in a way that is insincere or deceptive."
evermore,tolerate it,"indiscretions",Advanced,"Actions or behaviors that are considered improper or unwise, often in a social or moral context. Indiscretions can have negative consequences and may damage one's reputation."
evermore,tolerate it,"glisten",Intermediate,"To shine or sparkle with a soft, subtle light, often due to moisture or reflection. Glisten can also imply a sense of attractiveness or allure."
evermore,tolerate it,"byline",Intermediate,"A line or credit at the beginning of a newspaper or magazine article, typically including the author's name. In a broader sense, a byline can refer to a person's reputation or legacy."
evermore,tolerate it,"barbed",Intermediate,"Having or covered with barbs, which are sharp points or projections, often used to describe something that is hurtful or unpleasant. Barbed can also imply a sense of danger or threat."
evermore,tolerate it,"footnotes",Advanced,"Notes or comments added to the bottom of a page, often used to provide additional information or clarification. In a broader sense, footnotes can refer to minor or secondary aspects of a larger story or narrative."
evermore,no body, no crime,"infidelity",Intermediate,"The act of being unfaithful to a spouse or partner, often by engaging in romantic or sexual relationships with someone else. It can also refer to a breach of trust or loyalty in other contexts."
evermore,no body, no crime,"joint",Beginner,"Shared by or belonging to two or more people, often in a business or financial context. In this case, it refers to a shared bank account."
evermore,no body, no crime,"mistress",Intermediate,"A woman who is having a romantic or sexual relationship with a man, often in secret and without being married to him. The term can also imply a sense of scandal or impropriety."
evermore,happiness,"reinvention",Intermediate,"The act of changing or recreating something, especially oneself, in a new or different way."
evermore,happiness,"dappled",Advanced,"Marked with small, rounded patches of color or light, often in a random or irregular pattern."
evermore,happiness,"glorious",Intermediate,"Having or deserving great praise or glory; magnificent or resplendent."
evermore,happiness,"flickers",Intermediate,"Small, unsteady flames or flashes of light; a faint or brief appearance of something."
evermore,happiness,"smirk",Beginner,"A facial expression characterized by a slight, often mocking or scornful smile."
evermore,happiness,"niceties",Intermediate,"Polite or courteous behavior, often insincere or superficial."
evermore,dorothea,"lark",Intermediate,"a carefree or playful adventure, often involving a prank or mischief. It can also refer to a type of bird known for its melodious song."
evermore,dorothea,"pageant",Intermediate,"a show or spectacle, often with elaborate costumes and performances, or a beauty contest where participants are judged on their physical appearance."
evermore,dorothea,"bleachers",Beginner,"raised, tiered seats, often found in sports stadiums or arenas, where spectators can watch events."
evermore,dorothea,"tupelo",Advanced,"a type of tree, or a city in Mississippi, USA, known for its musical heritage, particularly in the genres of blues and rock 'n' roll."
evermore,coney island,"delicate",Intermediate,"Requiring careful handling or treatment because of fragility or sensitivity."
evermore,coney island,"centerfold",Intermediate,"A person, especially a model, whose photograph is featured on the center pages of a magazine."
evermore,coney island,"merry",Beginner,"Giving, expressing, or characterized by joy and laughter."
evermore,coney island,"paradise",Intermediate,"A place or state of supreme bliss or happiness."
evermore,coney island,"rogue",Intermediate,"A person who behaves in a way that is not normal or expected, often in a charming or attractive way."
evermore,coney island,"polite",Beginner,"Having or showing good manners, tact, and courtesy."
evermore,ivy,"incandescent",Advanced,"Giving off light, typically in the form of rays or a glow. Incandescent objects or materials emit light as a result of being heated."
evermore,ivy,"tarnished",Intermediate,"Damaged or discredited, often in a moral or reputational sense. Something that is tarnished has lost its original shine or luster."
evermore,ivy,"magnificently",Advanced,"In a magnificent or impressive manner. Something that is magnificent is grand, beautiful, or impressive."
evermore,ivy,"opal",Intermediate,"A type of gemstone that is known for its iridescent, shimmering appearance. Opals are often associated with beauty and rarity."
evermore,ivy,"crescent",Intermediate,"Shaped like a crescent moon, or increasing in size or extent. A crescent shape is curved and growing, like the moon in its early phases."
evermore,ivy,"begged",Beginner,"Asked or requested something in a humble or urgent manner. To beg for something is to ask for it in a way that is pleading or insistent."
evermore,cowboy like me,"perched",Intermediate,"sitting or resting in a high or elevated position, often in a temporary or precarious way. It can also imply a sense of being poised or ready to act."
evermore,cowboy like me,"bandit",Intermediate,"a person who takes things that do not belong to them, often in a sneaky or dishonest way. It can also refer to someone who is seen as charmingly dishonest or unscrupulous."
evermore,cowboy like me,"hustling",Intermediate,"working hard to achieve something, often in a way that is considered aggressive or unscrupulous. It can also imply a sense of striving for success or wealth."
evermore,cowboy like me,"swindled",Advanced,"to cheat or deceive someone in order to get their money or property. It can also imply a sense of being taken advantage of or exploited."
evermore,cowboy like me,"con",Intermediate,"a trick or a scam, often used to deceive or cheat someone. It can also refer to a confidence trick or a swindle."
evermore,long story short,"fatefully",Intermediate,"In a way that seems to be controlled by fate; inevitably. Fatefully describes events that are predetermined or destined to happen."
evermore,long story short,"precipice",Advanced,"A steep cliff or a situation of great danger or uncertainty. A precipice is a point of great risk or a critical moment."
evermore,long story short,"nemeses",Advanced,"A person or thing that is a source of great trouble or opposition. A nemesis is an archenemy or a long-standing rival."
evermore,long story short,"pedestal",Intermediate,"A base or support for a statue or a position of great respect or admiration. To be on a pedestal means to be highly regarded or idealized."
evermore,long story short,"glimmer",Intermediate,"A faint or fleeting sparkle of light. A glimmer can also be a small sign or indication of something."
evermore,marjorie,"polite",Beginner,"Having or showing good manners, respectful and considerate of others."
evermore,marjorie,"amber",Intermediate,"A yellowish-orange color, or a type of fossilized tree resin."
evermore,marjorie,"backlogged",Advanced,"Accumulated or delayed, often due to a lack of resources or time."
evermore,marjorie,"wield",Intermediate,"To hold or use something, especially a weapon or a power, in a skillful or effective way."
evermore,closure,"closure",Intermediate,"The state of being able to bring a situation or experience to an end, often providing a sense of resolution or finality."
evermore,closure,"wrinkle",Intermediate,"A small problem or difficulty that needs to be dealt with, often used figuratively to describe a minor issue or complication."
evermore,closure,"unnecessary",Beginner,"Not needed or required, often used to describe something that is excessive or redundant."
evermore,evermore,"unmoored",Intermediate,"not firmly fixed or attached, feeling a lack of direction or stability"
evermore,evermore,"peculiar",Intermediate,"unusual or unexpected, often in a way that is interesting or attractive"
evermore,evermore,"double-crossed",Intermediate,"deceived or betrayed, often in a way that is deliberate or intentional"
evermore,evermore,"wildest",Beginner,"most extreme or uncontrolled, often in a way that is intense or chaotic"
evermore,evermore,"shipwrecked",Intermediate,"stranded or wrecked, often in a way that is dramatic or catastrophic"
evermore,evermore,"tossed",Beginner,"thrown or moved violently, often in a way that is unpredictable or uncontrollable"
fearless,Fearless,"absent-mindedly",Advanced,"In a distracted or preoccupied manner, without paying full attention to one's actions."
fearless,Fearless,"flawless",Intermediate,"Completely perfect or without any defects."
fearless,Fifteen,"redhead",Intermediate,"A person with red hair, often used to describe someone with a distinctive appearance."
fearless,Fifteen,"supposed",Intermediate,"Expected or intended to do something, often implying a sense of obligation or duty."
fearless,Fifteen,"realized",Beginner,"To understand or become aware of something, often as a result of experience or reflection."
fearless,Love Story,"balcony",Intermediate,"A platform with a railing, usually attached to the outside of a building, used for standing or sitting. It is often found on upper floors and provides a view of the surrounding area."
fearless,Love Story,"scarlet",Advanced,"A bright red color, often associated with passion, shame, or guilt. In literature, 'The Scarlet Letter' is a novel by Nathaniel Hawthorne, where the protagonist is forced to wear a scarlet letter as a symbol of shame."
fearless,Love Story,"outskirts",Intermediate,"The outer areas or edges of a town, city, or other populated area. These regions are often less developed or less populated than the central areas."
fearless,Hey Stephen,"deceiving",Intermediate,"Giving a false impression, misleading. It can be used to describe something or someone that appears to be one way but is actually another."
fearless,Hey Stephen,"dimming",Intermediate,"Making something, especially a light, less bright. It can also be used figuratively to describe something becoming less intense or interesting."
fearless,White Horse,"naive",Intermediate,"Lacking experience or worldly wisdom, often in a way that is considered charming or innocent. It describes someone who is unaware of the dangers or realities of a situation."
fearless,White Horse,"stairwell",Intermediate,"A staircase and its surrounding walls, especially in a building. It is a structural element that connects different floors."
fearless,White Horse,"rearview",Intermediate,"The view behind a vehicle, typically through the rear window. It can also be used metaphorically to describe something that is behind or in the past."
fearless,You Belong with Me,"bleachers",Intermediate,"long, raised seats, typically in tiers, for spectators at a sports event"
fearless,You Belong with Me,"worn-out",Beginner,"showing signs of wear and tear, damaged or weakened by use or age"
fearless,Breathe,"tragedy",Intermediate,"An event or situation that causes great suffering or sadness. It is a noun that refers to a disastrous or unfortunate event."
fearless,Breathe,"swerve",Intermediate,"To change direction suddenly, often to avoid something. It can also mean to deviate from a course or a plan."
fearless,Breathe,"fallout",Intermediate,"The unpleasant or unwanted consequences of a situation. It can refer to the aftermath of a conflict, a disaster, or a difficult event."
fearless,Tell Me Why,"attitude",Intermediate,"A person's feelings or behavior, especially when this is seen as being unpleasant or uncooperative."
fearless,Tell Me Why,"temper",Intermediate,"A person's natural disposition or character, especially when this is seen as being quick to anger."
fearless,Tell Me Why,"frustrated",Beginner,"Feeling annoyed or upset because one is unable to do or achieve something."
fearless,Tell Me Why,"confused",Beginner,"Uncertain or unclear about something, often because of a lack of information or understanding."
fearless,Tell Me Why,"disposition",Advanced,"A person's natural character or temperament."
fearless,You're Not Sorry,"innocent",Beginner,"Having no knowledge of evil or wrongdoing; free from guilt or corruption."
fearless,You're Not Sorry,"straw",Intermediate,"The final event or incident in a series that leads to a breaking point or a decision to take action."
fearless,The Way I Loved You,"incredible",Beginner,"extremely good or great; difficult to believe"
fearless,The Way I Loved You,"intoxicating",Intermediate,"extremely pleasant or attractive, often in a way that is slightly dangerous or unhealthy"
fearless,The Way I Loved You,"complicated",Beginner,"difficult to understand or deal with because of many complex parts or factors"
fearless,The Way I Loved You,"endearing",Intermediate,"causing someone to feel great affection or fondness"
fearless,The Way I Loved You,"frustrating",Beginner,"causing feelings of anger or annoyance because something is not happening or is not possible"
fearless,Forever & Always,"flashback",Intermediate,"A sudden, brief memory of a past event or experience. It is a literary or cinematic device in which a scene or sequence is inserted into a story out of chronological order."
fearless,Forever & Always,"honest",Beginner,"Truthful and sincere in one's words and actions. Free from deceit or falseness."
fearless,Forever & Always,"scared",Beginner,"Feeling fear or anxiety, often in a way that makes one want to avoid something or someone."
fearless,Forever & Always,"silence",Intermediate,"The state of being quiet or not speaking. A lack of sound or noise."
fearless,Forever & Always,"anymore",Beginner,"No longer; not now. Used to indicate that something has stopped or is no longer the case."
fearless,The Best Day,"tractor",Beginner,"A vehicle used for pulling or powering farm equipment, typically having large wheels and a powerful engine."
fearless,The Best Day,"prettiest",Beginner,"The most attractive or pleasing in appearance."
fearless,The Best Day,"forgotten",Intermediate,"Unable to remember something, or no longer remembering it."
fearless,Change,"outnumbered",Intermediate,"To have a greater number of people or things than someone or something else, often making it difficult to win or succeed."
fearless,Change,"cornered",Intermediate,"To be trapped or forced into a difficult position, with no clear way to escape or win."
fearless,Change,"raided",Intermediate,"To attack or invade a place, often suddenly and with force, in order to take something or achieve a goal."
fearless,Change,"hallelujah",Beginner,"An expression of praise, joy, or triumph, often used to celebrate a victory or a moment of great happiness."
fearless,Change,"revolution",Intermediate,"A fundamental change or transformation, often involving a significant shift in power, social structure, or ideology."
folklore,the 1,"matinée",Intermediate,"A performance or show, especially a film or play, that takes place in the afternoon. It is often less crowded than evening shows."
folklore,the 1,"roaring",Intermediate,"Characterized by or filled with a loud, intense, and often exciting quality, often referring to a period of time or a social scene."
folklore,the 1,"persist",Intermediate,"To continue doing something or trying to achieve something over a long period of time, despite difficulties or challenges."
folklore,the 1,"resist",Beginner,"To control or restrain a strong feeling or desire, often requiring a lot of effort or willpower."
folklore,the 1,"defend",Beginner,"To give a reason or excuse for something, often in response to criticism or accusation."
folklore,cardigan,"sequin",Intermediate,"a small, shiny disc of metal or plastic, used for decoration, especially on clothing"
folklore,cardigan,"sensual",Intermediate,"relating to or affecting the senses, especially in a way that is pleasing or enjoyable"
folklore,cardigan,"cobblestones",Intermediate,"small stones or pebbles, often used to pave streets or walkways"
folklore,cardigan,"linger",Intermediate,"to remain or stay in a place for a long time, often in a way that is noticeable or felt"
folklore,cardigan,"bleedin'",Beginner,"bleeding, or losing blood, often used figuratively to describe emotional pain or distress"
folklore,cardigan,"what-ifs",Intermediate,"questions or doubts about what might have been, often used to express regret or uncertainty"
folklore,the last great american dynasty,"gauche",Intermediate,"Lacking in social grace or tact; awkward. Often used to describe someone's behavior or mannerisms as being somewhat crude or unsophisticated."
folklore,the last great american dynasty,"saltbox",Intermediate,"A type of traditional New England house with a long, sloping roof that is typically covered in wood shingles. The term can also refer to a style of architecture that is characterized by simplicity and practicality."
folklore,the last great american dynasty,"divorcée",Intermediate,"A woman who is divorced. This term is often used to describe someone who has been married and is now single again, often with a sense of scandal or stigma attached."
folklore,the last great american dynasty,"tasteful",Beginner,"Having or showing good taste; refined and cultured. Often used to describe something that is elegant, sophisticated, or of high quality."
folklore,the last great american dynasty,"marvelous",Beginner,"Extremely good or enjoyable; wonderful. Often used to describe something that is delightful, impressive, or extraordinary."
folklore,exile,"homeland",Intermediate,"A person's country of origin or the place where they feel a strong connection to. It can also refer to a region or area that is closely associated with a particular group of people."
folklore,exile,"exile",Intermediate,"A state of being forced to leave one's home or country, often as a result of punishment or persecution. It can also refer to a feeling of being isolated or disconnected from others."
folklore,exile,"understudy",Advanced,"A person who learns the part of another actor in a play, in case they are unable to perform. It can also refer to someone who is seen as a lesser or secondary version of someone else."
folklore,exile,"insult",Intermediate,"To speak or behave in a way that is intentionally offensive or hurtful to someone. It can also refer to an action or comment that is perceived as disrespectful or demeaning."
folklore,exile,"offending",Intermediate,"Causing someone to feel upset, annoyed, or offended. It can also refer to the act of committing a crime or wrongdoing."
folklore,my tears ricochet,"ricochet",Intermediate,"To bounce or rebound after hitting something, often used to describe a bullet or other projectile. In a broader sense, it can also describe a strong emotional reaction that bounces back to the person who caused it."
folklore,my tears ricochet,"ghostly",Intermediate,"Having a quality of being eerie, supernatural, or like a ghost. It can also describe something that is faint or barely visible."
folklore,my tears ricochet,"haunt",Beginner,"To visit or appear to someone as a ghost, or to cause someone to think or remember something unpleasant. It can also describe a place that is said to be visited by ghosts."
folklore,my tears ricochet,"battleships",Intermediate,"Large warships with heavy guns, used for fighting at sea. In a broader sense, it can also describe any large, powerful entity that is involved in a conflict or competition."
folklore,mirrorball,"masquerade",Intermediate,"A social gathering where people wear masks, often to conceal their identities. It can also refer to a false or pretended show of something."
folklore,mirrorball,"revelers",Intermediate,"People who are celebrating or enjoying themselves, often in a noisy or lively way."
folklore,mirrorball,"tiptoes",Beginner,"The tips of the toes, often used to describe someone walking or standing on the balls of their feet, trying not to be heard or seen."
folklore,mirrorball,"trapeze",Intermediate,"A swing or bar suspended high above the ground, used by acrobats or aerial performers."
folklore,mirrorball,"glisten",Intermediate,"To shine or sparkle with a faint or unsteady light, often used to describe something that is attractive or appealing."
folklore,seven,"civility",Intermediate,"Polite and respectful behavior, especially towards others. It involves being courteous and considerate in one's interactions."
folklore,seven,"ferociously",Advanced,"In a fierce or violent manner, showing intense energy or aggression. It can describe behavior that is wild, untamed, or uncontrolled."
folklore,seven,"pattern",Beginner,"A repeated or regular way in which something happens or is done. It can also refer to a design or arrangement of elements."
folklore,august,"rust",Intermediate,"A reddish-brown substance that forms on metal when it oxidizes, often due to exposure to air and moisture. It can also refer to a state of decay or deterioration."
